0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.3%,25.7%,30.4%,0.000%,Alameda,2021-04-06,2021-04-05,2021-04-07 12:30:12
0.1%,35.9%,34.1%,29.8%,0.000%,Alpine,2021-04-06,2021-04-02,2021-04-07 12:30:15
0.1%,19.1%,24.9%,55.8%,0.000%,Amador,2021-04-06,2021-04-05,2021-04-07 12:30:17
0.6%,34.0%,24.6%,40.9%,0.000%,Butte,2021-04-06,2021-04-05,2021-04-07 12:30:20
0.3%,16.7%,23.7%,59.2%,0.000%,Calaveras,2021-04-06,2021-04-05,2021-04-07 12:30:22
0.2%,37.5%,26.0%,36.3%,0.000%,Colusa,2021-04-06,2021-04-05,2021-04-07 12:30:25
0.7%,35.9%,29.3%,34.0%,0.000%,Contra Costa,2021-04-06,2021-04-05,2021-04-07 12:30:27
0.1%,25.5%,26.7%,47.7%,0.000%,Del Norte,2021-04-06,2021-04-05,2021-04-07 12:30:30
0.5%,24.9%,27.2%,47.4%,0.000%,El Dorado,2021-04-06,2021-04-05,2021-04-07 12:30:33
0.6%,41.4%,26.1%,31.8%,0.000%,Fresno,2021-04-06,2021-04-05,2021-04-07 12:30:35
0.3%,31.4%,26.5%,41.8%,0.000%,Glenn,2021-04-06,2021-04-05,2021-04-07 12:30:38
0.3%,36.4%,22.2%,41.2%,0.000%,Humboldt,2021-04-06,2021-04-05,2021-04-07 12:30:40
0.3%,40.9%,24.9%,33.9%,0.000%,Imperial,2021-04-06,2021-04-05,2021-04-07 12:30:42
0.3%,27.9%,24.4%,47.4%,0.000%,Inyo,2021-04-06,2021-04-05,2021-04-07 12:30:45
0.8%,40.6%,26.5%,32.0%,0.000%,Kern,2021-04-06,2021-04-05,2021-04-07 12:30:48
0.5%,43.4%,28.5%,27.6%,0.000%,Kings,2021-04-06,2021-04-05,2021-04-07 12:30:50
0.2%,24.4%,26.6%,48.7%,0.000%,Lake,2021-04-06,2021-04-05,2021-04-07 12:30:53
