0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,43.2%,25.4%,30.9%,Alameda,2021-04-05,2021-04-04,2021-04-05 18:35:18
0.1%,34.3%,34.3%,31.3%,Alpine,2021-04-05,2021-04-01,2021-04-05 18:35:20
0.1%,18.2%,24.2%,57.5%,Amador,2021-04-05,2021-04-04,2021-04-05 18:35:23
0.5%,33.6%,24.6%,41.3%,Butte,2021-04-05,2021-04-04,2021-04-05 18:35:26
0.3%,16.6%,23.5%,59.5%,Calaveras,2021-04-05,2021-04-03,2021-04-05 18:35:29
0.2%,37.3%,25.8%,36.7%,Colusa,2021-04-05,2021-04-03,2021-04-05 18:35:31
0.7%,35.6%,29.2%,34.5%,Contra Costa,2021-04-05,2021-04-04,2021-04-05 18:35:34
0.1%,25.2%,26.4%,48.3%,Del Norte,2021-04-05,2021-04-03,2021-04-05 18:35:37
0.5%,24.8%,26.9%,47.8%,El Dorado,2021-04-05,2021-04-04,2021-04-05 18:35:40
0.6%,41.3%,26.1%,32.0%,Fresno,2021-04-05,2021-04-04,2021-04-05 18:35:42
0.3%,31.4%,26.5%,41.9%,Glenn,2021-04-05,2021-04-03,2021-04-05 18:35:45
0.2%,36.0%,21.9%,41.9%,Humboldt,2021-04-05,2021-04-04,2021-04-05 18:35:48
0.3%,40.8%,24.8%,34.1%,Imperial,2021-04-05,2021-04-04,2021-04-05 18:35:51
0.3%,27.9%,24.3%,47.4%,Inyo,2021-04-05,2021-04-03,2021-04-05 18:35:53
0.8%,40.5%,26.4%,32.4%,Kern,2021-04-05,2021-04-04,2021-04-05 18:35:56
0.5%,43.4%,28.3%,27.8%,Kings,2021-04-05,2021-04-04,2021-04-05 18:35:59
0.2%,24.6%,25.8%,49.5%,Lake,2021-04-05,2021-04-03,2021-04-05 18:36:02
0.1%,23.1%,26.5%,50.3%,Lassen,2021-04-05,2021-04-03,2021-04-05 18:36:04
0.5%,42.3%,26.3%,30.9%,Los Angeles,2021-04-05,2021-04-04,2021-04-05 18:36:07
0.4%,35.1%,26.1%,38.4%,Madera,2021-04-05,2021-04-04,2021-04-05 18:36:10
1.1%,32.1%,27.5%,39.3%,Marin,2021-04-05,2021-04-04,2021-04-05 18:36:13
0.2%,19.4%,25.4%,55.0%,Mariposa,2021-04-05,2021-04-03,2021-04-05 18:36:15
0.6%,32.0%,24.3%,43.1%,Mendocino,2021-04-05,2021-04-04,2021-04-05 18:36:18
0.6%,40.2%,25.9%,33.3%,Merced,2021-04-05,2021-04-04,2021-04-05 18:36:20
0.1%,19.8%,26.2%,53.9%,Modoc,2021-04-05,2021-04-01,2021-04-05 18:36:23
1.5%,45.5%,28.8%,24.2%,Mono,2021-04-05,2021-04-03,2021-04-05 18:36:26
