Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
55.5%,44.2%,0.3%,Alameda,2021-04-07,2021-04-06,2021-04-08 06:26:38
47.3%,52.5%,0.3%,Alpine,2021-04-07,2021-04-06,2021-04-08 06:26:40
55.4%,44.4%,0.2%,Amador,2021-04-07,2021-04-06,2021-04-08 06:26:43
55.6%,44.3%,0.1%,Butte,2021-04-07,2021-04-06,2021-04-08 06:26:45
54.3%,45.0%,0.7%,Calaveras,2021-04-07,2021-04-06,2021-04-08 06:26:48
50.5%,48.9%,0.6%,Colusa,2021-04-07,2021-04-06,2021-04-08 06:26:51
55.6%,44.3%,0.1%,Contra Costa,2021-04-07,2021-04-06,2021-04-08 06:26:53
53.8%,46.1%,0.1%,Del Norte,2021-04-07,2021-04-06,2021-04-08 06:26:56
54.9%,45.0%,0.1%,El Dorado,2021-04-07,2021-04-06,2021-04-08 06:26:59
55.1%,44.8%,0.1%,Fresno,2021-04-07,2021-04-06,2021-04-08 06:27:01
54.4%,45.6%,0.1%,Glenn,2021-04-07,2021-04-06,2021-04-08 06:27:04
56.1%,43.7%,0.2%,Humboldt,2021-04-07,2021-04-06,2021-04-08 06:27:06
53.0%,46.9%,0.03%,Imperial,2021-04-07,2021-04-06,2021-04-08 06:27:09
52.4%,47.5%,0.1%,Inyo,2021-04-07,2021-04-06,2021-04-08 06:27:11
54.5%,44.9%,0.6%,Kern,2021-04-07,2021-04-06,2021-04-08 06:27:14
54.2%,45.5%,0.3%,Kings,2021-04-07,2021-04-06,2021-04-08 06:27:16
53.8%,46.1%,0.1%,Lake,2021-04-07,2021-04-06,2021-04-08 06:27:19
52.3%,47.5%,0.2%,Lassen,2021-04-07,2021-04-06,2021-04-08 06:27:21
55.0%,44.8%,0.2%,Los Angeles,2021-04-07,2021-04-06,2021-04-08 06:27:24
54.5%,45.5%,0.1%,Madera,2021-04-07,2021-04-06,2021-04-08 06:27:26
55.5%,44.4%,0.1%,Marin,2021-04-07,2021-04-06,2021-04-08 06:27:29
53.6%,46.0%,0.4%,Mariposa,2021-04-07,2021-04-06,2021-04-08 06:27:32
53.7%,46.0%,0.4%,Mendocino,2021-04-07,2021-04-06,2021-04-08 06:27:34
54.8%,44.8%,0.4%,Merced,2021-04-07,2021-04-06,2021-04-08 06:27:37
52.8%,47.2%,0.000%,Modoc,2021-04-07,2021-04-06,2021-04-08 06:27:40
47.8%,52.2%,0.01%,Mono,2021-04-07,2021-04-06,2021-04-08 06:27:42
53.6%,44.7%,1.6%,Monterey,2021-04-07,2021-04-06,2021-04-08 06:27:45
53.1%,46.8%,0.1%,Napa,2021-04-07,2021-04-06,2021-04-08 06:27:48
55.6%,44.3%,0.1%,Nevada,2021-04-07,2021-04-06,2021-04-08 06:27:50
54.6%,44.2%,1.2%,Orange,2021-04-07,2021-04-06,2021-04-08 06:27:53
56.4%,43.5%,0.1%,Placer,2021-04-07,2021-04-06,2021-04-08 06:27:56
53.8%,46.1%,0.1%,Plumas,2021-04-07,2021-04-06,2021-04-08 06:27:58
54.6%,45.3%,0.1%,Riverside,2021-04-07,2021-04-06,2021-04-08 06:28:01
56.5%,43.3%,0.2%,Sacramento,2021-04-07,2021-04-06,2021-04-08 06:28:04
55.1%,44.6%,0.2%,San Benito,2021-04-07,2021-04-06,2021-04-08 06:28:06
56.0%,43.8%,0.2%,San Bernardino,2021-04-07,2021-04-06,2021-04-08 06:28:09
56.2%,43.0%,0.8%,San Diego,2021-04-07,2021-04-06,2021-04-08 06:28:11
51.9%,47.7%,0.3%,San Francisco,2021-04-07,2021-04-06,2021-04-08 06:28:14
55.7%,43.4%,0.9%,San Joaquin,2021-04-07,2021-04-06,2021-04-08 06:28:16
55.7%,44.1%,0.2%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-08 06:28:19
55.5%,44.4%,0.1%,San Mateo,2021-04-07,2021-04-06,2021-04-08 06:28:22
55.1%,44.8%,0.1%,Santa Barbara,2021-04-07,2021-04-06,2021-04-08 06:28:24
55.1%,44.8%,0.1%,Santa Clara,2021-04-07,2021-04-06,2021-04-08 06:28:27
55.8%,43.9%,0.4%,Santa Cruz,2021-04-07,2021-04-06,2021-04-08 06:28:29
56.8%,43.1%,0.1%,Shasta,2021-04-07,2021-04-06,2021-04-08 06:28:32
52.2%,47.7%,0.1%,Sierra,2021-04-07,2021-04-06,2021-04-08 06:28:34
54.4%,45.5%,0.1%,Siskiyou,2021-04-07,2021-04-06,2021-04-08 06:28:37
56.1%,43.4%,0.5%,Solano,2021-04-07,2021-04-06,2021-04-08 06:28:40
55.7%,44.2%,0.1%,Sonoma,2021-04-07,2021-04-06,2021-04-08 06:28:42
55.6%,43.9%,0.5%,Stanislaus,2021-04-07,2021-04-06,2021-04-08 06:28:45
55.1%,44.7%,0.2%,Sutter,2021-04-07,2021-04-06,2021-04-08 06:28:48
55.3%,44.5%,0.1%,Tehama,2021-04-07,2021-04-06,2021-04-08 06:28:50
50.3%,49.6%,0.1%,Trinity,2021-04-07,2021-04-06,2021-04-08 06:28:53
54.4%,45.5%,0.1%,Tulare,2021-04-07,2021-04-06,2021-04-08 06:28:56
54.4%,45.5%,0.1%,Tuolumne,2021-04-07,2021-04-06,2021-04-08 06:28:58
55.1%,44.9%,0.04%,Ventura,2021-04-07,2021-04-06,2021-04-08 06:29:01
55.4%,42.8%,1.8%,Yolo,2021-04-07,2021-04-06,2021-04-08 06:29:04
56.3%,43.5%,0.2%,Yuba,2021-04-07,2021-04-06,2021-04-08 06:29:06
