Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
57.0%,42.7%,0.3%,Alameda,2021-03-26,2021-03-25,2021-03-26 16:36:54
46.7%,52.8%,0.4%,Alpine,2021-03-26,2021-03-25,2021-03-26 16:36:56
56.0%,43.9%,0.1%,Amador,2021-03-26,2021-03-25,2021-03-26 16:36:59
56.8%,43.1%,0.1%,Butte,2021-03-26,2021-03-25,2021-03-26 16:37:01
54.8%,44.4%,0.8%,Calaveras,2021-03-26,2021-03-25,2021-03-26 16:37:05
51.8%,46.4%,1.9%,Colusa,2021-03-26,2021-03-25,2021-03-26 16:37:08
57.1%,42.8%,0.1%,Contra Costa,2021-03-26,2021-03-25,2021-03-26 16:37:10
54.0%,45.8%,0.1%,Del Norte,2021-03-26,2021-03-25,2021-03-26 16:37:12
55.4%,44.5%,0.1%,El Dorado,2021-03-26,2021-03-25,2021-03-26 16:37:15
55.8%,44.1%,0.1%,Fresno,2021-03-26,2021-03-25,2021-03-26 16:37:17
56.3%,43.6%,0.1%,Glenn,2021-03-26,2021-03-25,2021-03-26 16:37:20
58.1%,41.7%,0.1%,Humboldt,2021-03-26,2021-03-25,2021-03-26 16:37:23
54.5%,45.5%,0.0%,Imperial,2021-03-26,2021-03-25,2021-03-26 16:37:25
53.2%,46.7%,0.1%,Inyo,2021-03-26,2021-03-25,2021-03-26 16:37:28
55.4%,44.0%,0.6%,Kern,2021-03-26,2021-03-25,2021-03-26 16:37:30
55.1%,44.5%,0.4%,Kings,2021-03-26,2021-03-25,2021-03-26 16:37:33
54.4%,45.6%,0.1%,Lake,2021-03-26,2021-03-25,2021-03-26 16:37:35
52.6%,47.2%,0.2%,Lassen,2021-03-26,2021-03-25,2021-03-26 16:37:37
56.1%,43.7%,0.2%,Los Angeles,2021-03-26,2021-03-25,2021-03-26 16:37:40
55.0%,44.9%,0.1%,Madera,2021-03-26,2021-03-25,2021-03-26 16:37:42
56.6%,43.3%,0.1%,Marin,2021-03-26,2021-03-25,2021-03-26 16:37:45
53.8%,45.8%,0.4%,Mariposa,2021-03-26,2021-03-25,2021-03-26 16:37:47
54.1%,45.1%,0.8%,Mendocino,2021-03-26,2021-03-25,2021-03-26 16:37:50
55.2%,44.4%,0.4%,Merced,2021-03-26,2021-03-25,2021-03-26 16:37:52
52.7%,47.3%,0.0%,Modoc,2021-03-26,2021-03-25,2021-03-26 16:37:55
47.4%,52.6%,0.0%,Mono,2021-03-26,2021-03-25,2021-03-26 16:37:57
54.5%,42.4%,3.1%,Monterey,2021-03-26,2021-03-25,2021-03-26 16:38:00
53.4%,46.6%,0.1%,Napa,2021-03-26,2021-03-25,2021-03-26 16:38:02
56.5%,43.4%,0.1%,Nevada,2021-03-26,2021-03-25,2021-03-26 16:38:04
55.8%,43.3%,1.0%,Orange,2021-03-26,2021-03-25,2021-03-26 16:38:07
57.2%,42.8%,0.1%,Placer,2021-03-26,2021-03-25,2021-03-26 16:38:09
54.1%,45.9%,0.0%,Plumas,2021-03-26,2021-03-25,2021-03-26 16:38:12
55.5%,44.4%,0.1%,Riverside,2021-03-26,2021-03-25,2021-03-26 16:38:14
57.3%,42.5%,0.2%,Sacramento,2021-03-26,2021-03-25,2021-03-26 16:38:17
56.4%,43.2%,0.4%,San Benito,2021-03-26,2021-03-25,2021-03-26 16:38:19
57.1%,42.8%,0.1%,San Bernardino,2021-03-26,2021-03-25,2021-03-26 16:38:22
57.2%,42.0%,0.8%,San Diego,2021-03-26,2021-03-25,2021-03-26 16:38:24
52.9%,46.8%,0.3%,San Francisco,2021-03-26,2021-03-25,2021-03-26 16:38:26
56.6%,42.6%,0.8%,San Joaquin,2021-03-26,2021-03-25,2021-03-26 16:38:29
56.4%,43.5%,0.1%,San Luis Obispo,2021-03-26,2021-03-25,2021-03-26 16:38:31
56.8%,43.2%,0.1%,San Mateo,2021-03-26,2021-03-25,2021-03-26 16:38:34
56.4%,43.5%,0.1%,Santa Barbara,2021-03-26,2021-03-25,2021-03-26 16:38:36
56.9%,43.0%,0.1%,Santa Clara,2021-03-26,2021-03-25,2021-03-26 16:38:39
56.9%,42.7%,0.4%,Santa Cruz,2021-03-26,2021-03-25,2021-03-26 16:38:41
57.3%,42.6%,0.1%,Shasta,2021-03-26,2021-03-25,2021-03-26 16:38:44
51.8%,48.0%,0.2%,Sierra,2021-03-26,2021-03-25,2021-03-26 16:38:46
54.7%,45.2%,0.1%,Siskiyou,2021-03-26,2021-03-25,2021-03-26 16:38:49
57.2%,42.6%,0.2%,Solano,2021-03-26,2021-03-25,2021-03-26 16:38:51
56.7%,43.3%,0.1%,Sonoma,2021-03-26,2021-03-25,2021-03-26 16:38:54
56.3%,43.3%,0.4%,Stanislaus,2021-03-26,2021-03-25,2021-03-26 16:38:56
55.8%,43.8%,0.5%,Sutter,2021-03-26,2021-03-25,2021-03-26 16:38:59
55.9%,44.0%,0.0%,Tehama,2021-03-26,2021-03-25,2021-03-26 16:39:01
50.6%,49.2%,0.2%,Trinity,2021-03-26,2021-03-25,2021-03-26 16:39:04
55.0%,44.9%,0.0%,Tulare,2021-03-26,2021-03-25,2021-03-26 16:39:07
54.9%,45.0%,0.1%,Tuolumne,2021-03-26,2021-03-25,2021-03-26 16:39:09
56.0%,43.9%,0.0%,Ventura,2021-03-26,2021-03-25,2021-03-26 16:39:11
55.3%,40.9%,3.8%,Yolo,2021-03-26,2021-03-25,2021-03-26 16:39:14
57.5%,42.2%,0.3%,Yuba,2021-03-26,2021-03-25,2021-03-26 16:39:16
