American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Alameda,2021-04-12,2021-04-11,2021-04-13 02:41:02
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Alpine,2021-04-12,2021-04-11,2021-04-13 02:41:05
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Amador,2021-04-12,2021-04-11,2021-04-13 02:41:08
1.1%,2.8%,0.8%,9.6%,16.9%,0.1%,57.8%,6.7%,4.1%,Butte,2021-04-12,2021-04-11,2021-04-13 02:41:11
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Calaveras,2021-04-12,2021-04-11,2021-04-13 02:41:13
0.8%,0.7%,0.5%,33.7%,6.6%,0.1%,30.6%,5.9%,21.2%,Colusa,2021-04-12,2021-04-11,2021-04-13 02:41:16
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Contra Costa,2021-04-12,2021-04-11,2021-04-13 02:41:19
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Del Norte,2021-04-12,2021-04-11,2021-04-13 02:41:22
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,El Dorado,2021-04-12,2021-04-11,2021-04-13 02:41:25
0.5%,8.2%,2.3%,36.1%,10.6%,0.2%,28.5%,7.9%,5.8%,Fresno,2021-04-12,2021-04-11,2021-04-13 02:41:28
1.8%,1.5%,0.2%,27.4%,9.5%,0.1%,42.5%,10.8%,6.2%,Glenn,2021-04-12,2021-04-11,2021-04-13 02:41:31
3.0%,1.6%,0.8%,8.0%,13.8%,0.2%,65.8%,2.7%,4.1%,Humboldt,2021-04-12,2021-04-11,2021-04-13 02:41:34
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Imperial,2021-04-12,2021-04-11,2021-04-13 02:41:37
0.9%,1.2%,0.2%,11.0%,21.2%,0.1%,55.7%,3.4%,6.2%,Inyo,2021-04-12,2021-04-10,2021-04-13 02:41:40
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Kern,2021-04-12,2021-04-11,2021-04-13 02:41:42
0.6%,3.0%,2.2%,45.3%,7.7%,0.2%,27.3%,5.8%,7.8%,Kings,2021-04-12,2021-04-11,2021-04-13 02:41:45
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Lake,2021-04-12,2021-04-11,2021-04-13 02:41:48
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Lassen,2021-04-12,2021-04-10,2021-04-13 02:41:51
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Los Angeles,2021-04-12,2021-04-11,2021-04-13 02:41:54
0.8%,2.1%,1.6%,36.9%,7.7%,0.1%,34.6%,9.7%,6.5%,Madera,2021-04-12,2021-04-11,2021-04-13 02:41:57
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Marin,2021-04-12,2021-04-11,2021-04-13 02:42:00
1.7%,1.1%,0.4%,8.0%,3.2%,0.1%,65.2%,4.5%,15.7%,Mariposa,2021-04-12,2021-04-11,2021-04-13 02:42:03
0.3%,13.2%,3.2%,22.3%,12.3%,0.4%,31.2%,10.0%,7.1%,Mendocino,2021-04-12,2021-04-11,2021-04-13 02:42:05
0.4%,6.0%,1.6%,35.4%,0.7%,0.3%,24.6%,8.2%,22.8%,Merced,2021-04-12,2021-04-11,2021-04-13 02:42:08
2.4%,1.9%,1.1%,9.0%,5.4%,0.2%,72.3%,1.7%,6.0%,Modoc,2021-04-12,2021-04-09,2021-04-13 02:42:11
0.4%,1.6%,0.2%,24.3%,12.0%,0.2%,58.8%,1.5%,1.0%,Mono,2021-04-12,2021-04-10,2021-04-13 02:42:14
0.2%,4.3%,1.1%,44.8%,10.3%,0.5%,26.4%,5.3%,7.1%,Monterey,2021-04-12,2021-04-11,2021-04-13 02:42:17
0.2%,5.2%,1.1%,20.9%,8.1%,0.4%,47.2%,7.6%,9.2%,Napa,2021-04-12,2021-04-11,2021-04-13 02:42:20
