American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Alameda,2021-04-13,2021-04-12,2021-04-14 00:56:46
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Alpine,2021-04-13,2021-04-09,2021-04-14 00:56:49
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Amador,2021-04-13,2021-04-12,2021-04-14 00:56:51
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Butte,2021-04-13,2021-04-12,2021-04-14 00:56:53
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Calaveras,2021-04-13,2021-04-12,2021-04-14 00:56:56
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Colusa,2021-04-13,2021-04-12,2021-04-14 00:56:58
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Contra Costa,2021-04-13,2021-04-12,2021-04-14 00:57:00
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Del Norte,2021-04-13,2021-04-12,2021-04-14 00:57:03
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,El Dorado,2021-04-13,2021-04-12,2021-04-14 00:57:05
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Fresno,2021-04-13,2021-04-12,2021-04-14 00:57:08
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Glenn,2021-04-13,2021-04-12,2021-04-14 00:57:10
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Humboldt,2021-04-13,2021-04-12,2021-04-14 00:57:12
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Imperial,2021-04-13,2021-04-12,2021-04-14 00:57:15
0.3%,13.2%,3.2%,22.4%,12.2%,0.4%,31.1%,9.9%,7.3%,Inyo,2021-04-13,2021-04-12,2021-04-14 00:57:17
