0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.5%,42.3%,23.3%,33.9%,Alameda,2021-03-31,2021-03-30,2021-03-31 22:22:57
0.1%,34.5%,33.8%,31.5%,Alpine,2021-03-31,2021-03-29,2021-03-31 22:23:00
0.1%,18.1%,24.0%,57.8%,Amador,2021-03-31,2021-03-30,2021-03-31 22:23:02
0.2%,31.9%,24.4%,43.5%,Butte,2021-03-31,2021-03-30,2021-03-31 22:23:05
0.3%,16.0%,22.8%,60.8%,Calaveras,2021-03-31,2021-03-30,2021-03-31 22:23:07
0.1%,36.0%,24.5%,39.4%,Colusa,2021-03-31,2021-03-30,2021-03-31 22:23:10
0.5%,34.0%,27.7%,37.8%,Contra Costa,2021-03-31,2021-03-30,2021-03-31 22:23:12
0.1%,24.3%,25.5%,50.1%,Del Norte,2021-03-31,2021-03-30,2021-03-31 22:23:15
0.4%,24.5%,25.4%,49.7%,El Dorado,2021-03-31,2021-03-30,2021-03-31 22:23:17
0.5%,40.7%,25.4%,33.5%,Fresno,2021-03-31,2021-03-30,2021-03-31 22:23:19
0.2%,30.6%,25.2%,43.9%,Glenn,2021-03-31,2021-03-30,2021-03-31 22:23:22
0.2%,34.6%,20.1%,45.1%,Humboldt,2021-03-31,2021-03-30,2021-03-31 22:23:24
0.2%,39.5%,23.8%,36.5%,Imperial,2021-03-31,2021-03-30,2021-03-31 22:23:26
0.3%,27.8%,22.4%,49.5%,Inyo,2021-03-31,2021-03-30,2021-03-31 22:23:29
0.6%,39.5%,25.3%,34.5%,Kern,2021-03-31,2021-03-30,2021-03-31 22:23:31
0.4%,42.6%,27.9%,29.1%,Kings,2021-03-31,2021-03-30,2021-03-31 22:23:34
0.2%,24.4%,24.6%,50.8%,Lake,2021-03-31,2021-03-30,2021-03-31 22:23:36
0.1%,22.8%,25.9%,51.3%,Lassen,2021-03-31,2021-03-30,2021-03-31 22:23:38
0.4%,41.7%,24.4%,33.5%,Los Angeles,2021-03-31,2021-03-30,2021-03-31 22:23:41
0.3%,34.5%,25.4%,39.8%,Madera,2021-03-31,2021-03-30,2021-03-31 22:23:43
1.0%,31.5%,25.7%,41.8%,Marin,2021-03-31,2021-03-30,2021-03-31 22:23:45
0.2%,18.3%,23.0%,58.6%,Mariposa,2021-03-31,2021-03-30,2021-03-31 22:23:48
0.7%,33.7%,24.5%,41.2%,Mendocino,2021-03-31,2021-03-30,2021-03-31 22:23:50
0.5%,39.2%,25.7%,34.6%,Merced,2021-03-31,2021-03-30,2021-03-31 22:23:53
0.1%,19.3%,25.8%,54.8%,Modoc,2021-03-31,2021-03-30,2021-03-31 22:23:55
1.5%,45.3%,28.4%,24.8%,Mono,2021-03-31,2021-03-30,2021-03-31 22:23:57
0.3%,41.1%,23.4%,35.1%,Monterey,2021-03-31,2021-03-30,2021-03-31 22:24:00
0.3%,36.6%,23.8%,39.3%,Napa,2021-03-31,2021-03-30,2021-03-31 22:24:02
0.5%,22.5%,21.2%,55.8%,Nevada,2021-03-31,2021-03-30,2021-03-31 22:24:05
0.4%,37.8%,24.3%,37.5%,Orange,2021-03-31,2021-03-30,2021-03-31 22:24:07
0.5%,28.8%,22.9%,47.8%,Placer,2021-03-31,2021-03-30,2021-03-31 22:24:09
0.1%,20.0%,20.1%,59.7%,Plumas,2021-03-31,2021-03-30,2021-03-31 22:24:12
0.4%,32.6%,24.5%,42.6%,Riverside,2021-03-31,2021-03-30,2021-03-31 22:24:14
0.5%,37.4%,24.6%,37.6%,Sacramento,2021-03-31,2021-03-30,2021-03-31 22:24:16
0.2%,38.6%,25.0%,36.2%,San Benito,2021-03-31,2021-03-30,2021-03-31 22:24:19
0.5%,37.8%,25.3%,36.4%,San Bernardino,2021-03-31,2021-03-30,2021-03-31 22:24:21
0.4%,36.9%,21.8%,40.9%,San Diego,2021-03-31,2021-03-30,2021-03-31 22:24:24
0.3%,45.7%,22.8%,31.2%,San Francisco,2021-03-31,2021-03-30,2021-03-31 22:24:26
0.5%,36.5%,26.0%,37.0%,San Joaquin,2021-03-31,2021-03-30,2021-03-31 22:24:28
0.3%,27.8%,20.2%,51.7%,San Luis Obispo,2021-03-31,2021-03-30,2021-03-31 22:24:31
0.5%,38.9%,23.9%,36.7%,San Mateo,2021-03-31,2021-03-30,2021-03-31 22:24:33
0.3%,34.9%,21.9%,42.9%,Santa Barbara,2021-03-31,2021-03-30,2021-03-31 22:24:36
0.5%,38.7%,24.1%,36.7%,Santa Clara,2021-03-31,2021-03-30,2021-03-31 22:24:38
0.4%,36.0%,23.2%,40.5%,Santa Cruz,2021-03-31,2021-03-30,2021-03-31 22:24:40
0.3%,23.7%,22.7%,53.3%,Shasta,2021-03-31,2021-03-30,2021-03-31 22:24:43
0.0%,21.0%,27.6%,51.5%,Sierra,2021-03-31,2021-03-30,2021-03-31 22:24:45
0.4%,22.0%,23.0%,54.6%,Siskiyou,2021-03-31,2021-03-30,2021-03-31 22:24:47
0.3%,33.9%,26.5%,39.2%,Solano,2021-03-31,2021-03-30,2021-03-31 22:24:50
0.4%,33.0%,24.0%,42.6%,Sonoma,2021-03-31,2021-03-30,2021-03-31 22:24:52
0.6%,35.6%,26.1%,37.7%,Stanislaus,2021-03-31,2021-03-30,2021-03-31 22:24:55
0.2%,31.7%,25.9%,42.2%,Sutter,2021-03-31,2021-03-30,2021-03-31 22:24:57
0.1%,24.9%,25.1%,49.8%,Tehama,2021-03-31,2021-03-30,2021-03-31 22:24:59
0.1%,19.6%,22.1%,58.2%,Trinity,2021-03-31,2021-03-30,2021-03-31 22:25:02
0.6%,41.8%,26.2%,31.4%,Tulare,2021-03-31,2021-03-30,2021-03-31 22:25:04
0.2%,19.4%,25.3%,55.2%,Tuolumne,2021-03-31,2021-03-30,2021-03-31 22:25:06
0.5%,36.1%,23.8%,39.6%,Ventura,2021-03-31,2021-03-30,2021-03-31 22:25:09
0.6%,43.7%,22.3%,33.4%,Yolo,2021-03-31,2021-03-30,2021-03-31 22:25:11
0.2%,29.6%,25.6%,44.6%,Yuba,2021-03-31,2021-03-30,2021-03-31 22:25:14
