0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.2%,25.4%,30.9%,0.000%,Alameda,2021-04-05,2021-04-04,2021-04-06 02:41:44
0.1%,34.3%,34.3%,31.3%,0.000%,Alpine,2021-04-05,2021-04-01,2021-04-06 02:41:46
0.1%,18.2%,24.2%,57.5%,0.000%,Amador,2021-04-05,2021-04-04,2021-04-06 02:41:49
0.5%,33.6%,24.6%,41.3%,0.000%,Butte,2021-04-05,2021-04-04,2021-04-06 02:41:51
0.3%,16.6%,23.5%,59.5%,0.000%,Calaveras,2021-04-05,2021-04-03,2021-04-06 02:41:53
0.2%,37.3%,25.8%,36.7%,0.000%,Colusa,2021-04-05,2021-04-03,2021-04-06 02:41:56
0.7%,35.6%,29.2%,34.5%,0.000%,Contra Costa,2021-04-05,2021-04-04,2021-04-06 02:41:58
0.1%,25.2%,26.4%,48.3%,0.000%,Del Norte,2021-04-05,2021-04-03,2021-04-06 02:42:01
0.5%,24.8%,26.9%,47.8%,0.000%,El Dorado,2021-04-05,2021-04-04,2021-04-06 02:42:03
0.6%,41.3%,26.1%,32.0%,0.000%,Fresno,2021-04-05,2021-04-04,2021-04-06 02:42:05
0.3%,31.4%,26.5%,41.9%,0.000%,Glenn,2021-04-05,2021-04-03,2021-04-06 02:42:08
0.2%,36.0%,21.9%,41.9%,0.000%,Humboldt,2021-04-05,2021-04-04,2021-04-06 02:42:10
0.3%,40.8%,24.8%,34.1%,0.000%,Imperial,2021-04-05,2021-04-04,2021-04-06 02:42:13
0.3%,27.9%,24.3%,47.4%,0.000%,Inyo,2021-04-05,2021-04-03,2021-04-06 02:42:15
0.8%,40.5%,26.4%,32.4%,0.000%,Kern,2021-04-05,2021-04-04,2021-04-06 02:42:18
0.5%,43.4%,28.3%,27.8%,0.000%,Kings,2021-04-05,2021-04-04,2021-04-06 02:42:20
0.2%,24.6%,25.8%,49.5%,0.000%,Lake,2021-04-05,2021-04-03,2021-04-06 02:42:22
0.1%,23.1%,26.5%,50.3%,0.000%,Lassen,2021-04-05,2021-04-03,2021-04-06 02:42:25
0.5%,42.3%,26.3%,30.9%,0.000%,Los Angeles,2021-04-05,2021-04-04,2021-04-06 02:42:27
0.4%,35.1%,26.1%,38.4%,0.000%,Madera,2021-04-05,2021-04-04,2021-04-06 02:42:30
1.1%,32.1%,27.5%,39.3%,0.000%,Marin,2021-04-05,2021-04-04,2021-04-06 02:42:32
0.2%,19.4%,25.4%,55.0%,0.02%,Mariposa,2021-04-05,2021-04-03,2021-04-06 02:42:35
0.6%,32.0%,24.3%,43.1%,0.000%,Mendocino,2021-04-05,2021-04-04,2021-04-06 02:42:37
0.6%,40.2%,25.9%,33.3%,0.000%,Merced,2021-04-05,2021-04-04,2021-04-06 02:42:39
0.1%,19.8%,26.2%,53.9%,0.000%,Modoc,2021-04-05,2021-04-01,2021-04-06 02:42:42
1.5%,45.5%,28.8%,24.2%,0.000%,Mono,2021-04-05,2021-04-03,2021-04-06 02:42:44
0.4%,41.8%,25.1%,32.7%,0.000%,Monterey,2021-04-05,2021-04-04,2021-04-06 02:42:47
0.4%,37.2%,24.5%,37.8%,0.000%,Napa,2021-04-05,2021-04-04,2021-04-06 02:42:49
0.5%,22.9%,23.4%,53.1%,0.000%,Nevada,2021-04-05,2021-04-04,2021-04-06 02:42:51
0.6%,39.0%,25.7%,34.7%,0.000%,Orange,2021-04-05,2021-04-04,2021-04-06 02:42:54
0.6%,29.0%,24.2%,46.3%,0.000%,Placer,2021-04-05,2021-04-04,2021-04-06 02:42:56
0.1%,20.4%,22.0%,57.4%,0.000%,Plumas,2021-04-05,2021-04-04,2021-04-06 02:42:58
0.5%,33.2%,26.3%,40.0%,0.000%,Riverside,2021-04-05,2021-04-04,2021-04-06 02:43:01
0.6%,37.9%,25.6%,36.0%,0.000%,Sacramento,2021-04-05,2021-04-04,2021-04-06 02:43:03
