American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.7%,5.6%,10.3%,10.4%,0.5%,25.3%,8.8%,18.1%,Alameda,2021-03-25,2021-03-24,2021-03-26 14:21:02
1.8%,0.6%,0.2%,0.6%,0.3%,0.0%,18.4%,0.9%,77.2%,Alpine,2021-03-25,2021-03-24,2021-03-26 14:21:04
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Amador,2021-03-25,2021-03-24,2021-03-26 14:21:07
1.1%,2.1%,0.7%,7.4%,16.1%,0.1%,56.7%,8.0%,7.7%,Butte,2021-03-25,2021-03-24,2021-03-26 14:21:10
0.4%,1.1%,0.4%,4.6%,1.4%,0.2%,53.6%,8.6%,29.7%,Calaveras,2021-03-25,2021-03-24,2021-03-26 14:21:12
1.1%,0.7%,0.4%,26.9%,5.6%,0.1%,32.9%,5.5%,26.8%,Colusa,2021-03-25,2021-03-24,2021-03-26 14:21:15
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Contra Costa,2021-03-25,2021-03-24,2021-03-26 14:21:18
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Del Norte,2021-03-25,2021-03-24,2021-03-26 14:21:20
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,El Dorado,2021-03-25,2021-03-24,2021-03-26 14:21:23
0.5%,6.9%,2.1%,31.4%,9.1%,0.2%,28.8%,7.9%,13.1%,Fresno,2021-03-25,2021-03-24,2021-03-26 14:21:26
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Glenn,2021-03-25,2021-03-24,2021-03-26 14:21:29
3.4%,1.3%,0.7%,5.9%,13.9%,0.2%,64.2%,3.1%,7.3%,Humboldt,2021-03-25,2021-03-24,2021-03-26 14:21:31
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Imperial,2021-03-25,2021-03-24,2021-03-26 14:21:34
1.1%,0.9%,0.2%,8.9%,21.6%,0.2%,54.1%,5.1%,8.0%,Inyo,2021-03-25,2021-03-23,2021-03-26 14:21:37
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Kern,2021-03-25,2021-03-24,2021-03-26 14:21:39
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Kings,2021-03-25,2021-03-24,2021-03-26 14:21:42
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Lake,2021-03-25,2021-03-24,2021-03-26 14:21:45
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Lassen,2021-03-25,2021-03-24,2021-03-26 14:21:48
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Los Angeles,2021-03-25,2021-03-24,2021-03-26 14:21:50
0.3%,11.8%,3.0%,19.2%,11.4%,0.4%,30.3%,10.9%,12.7%,Madera,2021-03-25,2021-03-24,2021-03-26 14:21:53
