0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,39.1%,25.7%,34.6%,Alameda,2021-04-05,2021-04-04,2021-04-05 20:21:52
0.1%,34.3%,34.3%,31.3%,Alpine,2021-04-05,2021-04-01,2021-04-05 20:21:55
0.6%,39.1%,25.7%,34.6%,Amador,2021-04-05,2021-04-04,2021-04-05 20:21:57
0.5%,33.6%,24.6%,41.3%,Butte,2021-04-05,2021-04-04,2021-04-05 20:21:59
0.3%,16.6%,23.5%,59.5%,Calaveras,2021-04-05,2021-04-03,2021-04-05 20:22:01
0.6%,39.1%,25.7%,34.6%,Colusa,2021-04-05,2021-04-04,2021-04-05 20:22:04
0.7%,35.6%,29.2%,34.5%,Contra Costa,2021-04-05,2021-04-04,2021-04-05 20:22:06
0.1%,25.2%,26.4%,48.3%,Del Norte,2021-04-05,2021-04-03,2021-04-05 20:22:08
0.5%,24.8%,26.9%,47.8%,El Dorado,2021-04-05,2021-04-04,2021-04-05 20:22:11
0.6%,41.3%,26.1%,32.0%,Fresno,2021-04-05,2021-04-04,2021-04-05 20:22:14
0.3%,31.4%,26.5%,41.9%,Glenn,2021-04-05,2021-04-03,2021-04-05 20:22:16
0.2%,36.0%,21.9%,41.9%,Humboldt,2021-04-05,2021-04-04,2021-04-05 20:22:18
0.6%,39.1%,25.7%,34.6%,Imperial,2021-04-05,2021-04-04,2021-04-05 20:22:21
0.3%,27.9%,24.3%,47.4%,Inyo,2021-04-05,2021-04-03,2021-04-05 20:22:23
0.8%,40.5%,26.4%,32.4%,Kern,2021-04-05,2021-04-04,2021-04-05 20:22:25
0.5%,43.4%,28.3%,27.8%,Kings,2021-04-05,2021-04-04,2021-04-05 20:22:28
0.2%,24.6%,25.8%,49.5%,Lake,2021-04-05,2021-04-03,2021-04-05 20:22:30
0.1%,23.1%,26.5%,50.3%,Lassen,2021-04-05,2021-04-03,2021-04-05 20:22:33
0.5%,42.3%,26.3%,30.9%,Los Angeles,2021-04-05,2021-04-04,2021-04-05 20:22:35
0.4%,35.1%,26.1%,38.4%,Madera,2021-04-05,2021-04-04,2021-04-05 20:22:37
0.6%,39.1%,25.7%,34.6%,Marin,2021-04-05,2021-04-04,2021-04-05 20:22:40
0.6%,39.1%,25.7%,34.6%,Mariposa,2021-04-05,2021-04-04,2021-04-05 20:22:42
0.6%,32.0%,24.3%,43.1%,Mendocino,2021-04-05,2021-04-04,2021-04-05 20:22:44
