0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.8%,45.8%,27.0%,26.4%,Alameda,2021-04-15,2021-04-14,2021-04-16 02:41:03
0.1%,36.5%,35.3%,28.1%,Alpine,2021-04-15,2021-04-08,2021-04-16 02:41:05
0.1%,20.3%,26.7%,52.9%,Amador,2021-04-15,2021-04-14,2021-04-16 02:41:08
0.7%,35.8%,24.9%,38.6%,Butte,2021-04-15,2021-04-14,2021-04-16 02:41:10
0.5%,18.2%,28.0%,53.4%,Calaveras,2021-04-15,2021-04-14,2021-04-16 02:41:12
0.2%,38.2%,28.3%,33.4%,Colusa,2021-04-15,2021-04-14,2021-04-16 02:41:14
1.4%,40.8%,28.6%,29.2%,Contra Costa,2021-04-15,2021-04-14,2021-04-16 02:41:17
0.2%,27.8%,29.0%,43.0%,Del Norte,2021-04-15,2021-04-14,2021-04-16 02:41:19
0.6%,26.1%,29.9%,43.4%,El Dorado,2021-04-15,2021-04-14,2021-04-16 02:41:21
0.8%,41.5%,27.5%,30.2%,Fresno,2021-04-15,2021-04-14,2021-04-16 02:41:23
0.4%,32.5%,27.7%,39.5%,Glenn,2021-04-15,2021-04-14,2021-04-16 02:41:26
0.5%,38.7%,24.0%,36.8%,Humboldt,2021-04-15,2021-04-14,2021-04-16 02:41:28
0.5%,42.9%,26.5%,30.1%,Imperial,2021-04-15,2021-04-14,2021-04-16 02:41:30
0.3%,29.4%,26.1%,44.2%,Inyo,2021-04-15,2021-04-14,2021-04-16 02:41:33
1.3%,42.6%,27.3%,28.9%,Kern,2021-04-15,2021-04-14,2021-04-16 02:41:35
0.7%,44.5%,28.9%,25.8%,Kings,2021-04-15,2021-04-14,2021-04-16 02:41:37
0.2%,25.6%,29.1%,45.0%,Lake,2021-04-15,2021-04-14,2021-04-16 02:41:39
0.1%,24.5%,28.1%,47.3%,Lassen,2021-04-15,2021-04-14,2021-04-16 02:41:41
0.7%,44.4%,27.9%,27.0%,Los Angeles,2021-04-15,2021-04-14,2021-04-16 02:41:44
0.9%,37.4%,26.9%,34.7%,Madera,2021-04-15,2021-04-14,2021-04-16 02:41:46
1.4%,34.4%,29.8%,34.5%,Marin,2021-04-15,2021-04-14,2021-04-16 02:41:48
0.2%,20.1%,25.5%,54.3%,Mariposa,2021-04-15,2021-04-14,2021-04-16 02:41:51
0.7%,32.9%,25.7%,40.8%,Mendocino,2021-04-15,2021-04-14,2021-04-16 02:41:53
0.7%,42.7%,26.8%,29.9%,Merced,2021-04-15,2021-04-14,2021-04-16 02:41:55
0.6%,20.9%,26.6%,51.8%,Modoc,2021-04-15,2021-04-14,2021-04-16 02:41:58
1.4%,46.7%,29.3%,22.6%,Mono,2021-04-15,2021-04-14,2021-04-16 02:42:00
1.0%,45.3%,26.2%,27.5%,Monterey,2021-04-15,2021-04-14,2021-04-16 02:42:02
0.6%,38.3%,26.7%,34.4%,Napa,2021-04-15,2021-04-14,2021-04-16 02:42:05
0.8%,26.0%,25.9%,47.2%,Nevada,2021-04-15,2021-04-14,2021-04-16 02:42:07
0.8%,40.2%,28.3%,30.6%,Orange,2021-04-15,2021-04-14,2021-04-16 02:42:10
0.9%,30.7%,27.2%,41.3%,Placer,2021-04-15,2021-04-14,2021-04-16 02:42:12
0.2%,22.6%,25.8%,51.5%,Plumas,2021-04-15,2021-04-14,2021-04-16 02:42:14
1.1%,36.4%,28.0%,34.5%,Riverside,2021-04-15,2021-04-14,2021-04-16 02:42:17
0.8%,39.4%,27.6%,32.1%,Sacramento,2021-04-15,2021-04-14,2021-04-16 02:42:19
0.4%,40.9%,29.3%,29.4%,San Benito,2021-04-15,2021-04-14,2021-04-16 02:42:21
1.0%,40.3%,29.1%,29.7%,San Bernardino,2021-04-15,2021-04-14,2021-04-16 02:42:23
0.7%,40.3%,25.5%,33.5%,San Diego,2021-04-15,2021-04-14,2021-04-16 02:42:26
0.5%,49.5%,25.2%,24.8%,San Francisco,2021-04-15,2021-04-14,2021-04-16 02:42:28
0.7%,39.3%,28.9%,31.1%,San Joaquin,2021-04-15,2021-04-14,2021-04-16 02:42:31
0.5%,32.3%,25.6%,41.6%,San Luis Obispo,2021-04-15,2021-04-14,2021-04-16 02:42:33
0.9%,41.9%,28.1%,29.1%,San Mateo,2021-04-15,2021-04-14,2021-04-16 02:42:36
0.8%,41.5%,27.5%,30.2%,Santa Barbara,2021-04-15,2021-04-14,2021-04-16 02:42:38
1.0%,43.6%,28.9%,26.5%,Santa Clara,2021-04-15,2021-04-14,2021-04-16 02:42:40
0.7%,38.4%,27.9%,32.9%,Santa Cruz,2021-04-15,2021-04-14,2021-04-16 02:42:42
0.6%,25.3%,25.7%,48.5%,Shasta,2021-04-15,2021-04-14,2021-04-16 02:42:45
0.000%,24.2%,28.9%,47.0%,Sierra,2021-04-15,2021-04-13,2021-04-16 02:42:47
0.5%,23.0%,25.3%,51.3%,Siskiyou,2021-04-15,2021-04-14,2021-04-16 02:42:49
0.6%,36.6%,28.9%,34.0%,Solano,2021-04-15,2021-04-14,2021-04-16 02:42:51
0.7%,35.6%,27.5%,36.2%,Sonoma,2021-04-15,2021-04-14,2021-04-16 02:42:54
1.3%,39.4%,27.3%,31.9%,Stanislaus,2021-04-15,2021-04-14,2021-04-16 02:42:56
0.4%,35.7%,27.9%,36.0%,Sutter,2021-04-15,2021-04-14,2021-04-16 02:42:58
