Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.3%,43.4%,0.3%,Alameda,2021-04-02,2021-04-01,2021-04-03 00:58:00
47.0%,52.5%,0.4%,Alpine,2021-04-02,2021-04-01,2021-04-03 00:58:03
55.8%,44.1%,0.1%,Amador,2021-04-02,2021-04-01,2021-04-03 00:58:05
56.1%,43.9%,0.1%,Butte,2021-04-02,2021-04-01,2021-04-03 00:58:08
54.5%,44.8%,0.8%,Calaveras,2021-04-02,2021-04-01,2021-04-03 00:58:10
51.4%,47.0%,1.7%,Colusa,2021-04-02,2021-04-01,2021-04-03 00:58:13
56.2%,43.7%,0.1%,Contra Costa,2021-04-02,2021-04-01,2021-04-03 00:58:15
53.9%,46.0%,0.1%,Del Norte,2021-04-02,2021-04-01,2021-04-03 00:58:18
55.2%,44.7%,0.1%,El Dorado,2021-04-02,2021-04-01,2021-04-03 00:58:21
55.4%,44.5%,0.1%,Fresno,2021-04-02,2021-04-01,2021-04-03 00:58:23
55.0%,44.9%,0.1%,Glenn,2021-04-02,2021-04-01,2021-04-03 00:58:25
56.9%,42.9%,0.1%,Humboldt,2021-04-02,2021-04-01,2021-04-03 00:58:28
53.5%,46.4%,0.0%,Imperial,2021-04-02,2021-04-01,2021-04-03 00:58:30
52.7%,47.2%,0.1%,Inyo,2021-04-02,2021-04-01,2021-04-03 00:58:33
54.9%,44.5%,0.7%,Kern,2021-04-02,2021-04-01,2021-04-03 00:58:35
54.4%,45.3%,0.3%,Kings,2021-04-02,2021-04-01,2021-04-03 00:58:38
54.1%,45.8%,0.1%,Lake,2021-04-02,2021-04-01,2021-04-03 00:58:40
52.5%,47.3%,0.2%,Lassen,2021-04-02,2021-04-01,2021-04-03 00:58:43
55.5%,44.3%,0.2%,Los Angeles,2021-04-02,2021-04-01,2021-04-03 00:58:45
54.7%,45.2%,0.1%,Madera,2021-04-02,2021-04-01,2021-04-03 00:58:48
56.1%,43.8%,0.1%,Marin,2021-04-02,2021-04-01,2021-04-03 00:58:50
53.9%,45.7%,0.4%,Mariposa,2021-04-02,2021-04-01,2021-04-03 00:58:52
53.7%,45.5%,0.8%,Mendocino,2021-04-02,2021-04-01,2021-04-03 00:58:55
54.9%,44.7%,0.4%,Merced,2021-04-02,2021-04-01,2021-04-03 00:58:57
52.6%,47.4%,0.0%,Modoc,2021-04-02,2021-04-01,2021-04-03 00:58:59
47.3%,52.6%,0.0%,Mono,2021-04-02,2021-03-31,2021-04-03 00:59:02
53.8%,43.3%,2.9%,Monterey,2021-04-02,2021-04-01,2021-04-03 00:59:04
53.3%,46.6%,0.1%,Napa,2021-04-02,2021-04-01,2021-04-03 00:59:07
56.1%,43.8%,0.1%,Nevada,2021-04-02,2021-04-01,2021-04-03 00:59:09
55.1%,44.0%,0.9%,Orange,2021-04-02,2021-04-01,2021-04-03 00:59:12
56.8%,43.2%,0.1%,Placer,2021-04-02,2021-04-01,2021-04-03 00:59:14
53.9%,46.0%,0.1%,Plumas,2021-04-02,2021-04-01,2021-04-03 00:59:17
55.1%,44.9%,0.1%,Riverside,2021-04-02,2021-04-01,2021-04-03 00:59:20
56.9%,42.8%,0.3%,Sacramento,2021-04-02,2021-04-01,2021-04-03 00:59:22
55.8%,43.9%,0.3%,San Benito,2021-04-02,2021-04-01,2021-04-03 00:59:25
56.5%,43.3%,0.2%,San Bernardino,2021-04-02,2021-04-01,2021-04-03 00:59:27
55.4%,44.2%,0.4%,San Diego,2021-04-02,2021-04-01,2021-04-03 00:59:30
52.4%,47.3%,0.3%,San Francisco,2021-04-02,2021-04-01,2021-04-03 00:59:32
56.1%,43.1%,0.9%,San Joaquin,2021-04-02,2021-04-01,2021-04-03 00:59:35
55.9%,44.0%,0.1%,San Luis Obispo,2021-04-02,2021-04-01,2021-04-03 00:59:37
56.2%,43.7%,0.1%,San Mateo,2021-04-02,2021-04-01,2021-04-03 00:59:40
55.6%,44.3%,0.1%,Santa Barbara,2021-04-02,2021-04-01,2021-04-03 00:59:42
55.9%,44.0%,0.1%,Santa Clara,2021-04-02,2021-04-01,2021-04-03 00:59:44
56.4%,43.2%,0.4%,Santa Cruz,2021-04-02,2021-04-01,2021-04-03 00:59:47
57.0%,42.8%,0.1%,Shasta,2021-04-02,2021-04-01,2021-04-03 00:59:49
52.1%,47.8%,0.2%,Sierra,2021-04-02,2021-04-01,2021-04-03 00:59:52
54.5%,45.4%,0.0%,Siskiyou,2021-04-02,2021-04-01,2021-04-03 00:59:54
56.6%,42.9%,0.5%,Solano,2021-04-02,2021-04-01,2021-04-03 00:59:57
56.2%,43.7%,0.1%,Sonoma,2021-04-02,2021-04-01,2021-04-03 00:59:59
55.9%,43.6%,0.4%,Stanislaus,2021-04-02,2021-04-01,2021-04-03 01:00:02
55.3%,44.3%,0.4%,Sutter,2021-04-02,2021-04-01,2021-04-03 01:00:04
55.4%,44.6%,0.1%,Tehama,2021-04-02,2021-04-01,2021-04-03 01:00:07
50.5%,49.3%,0.1%,Trinity,2021-04-02,2021-04-01,2021-04-03 01:00:09
54.7%,45.2%,0.1%,Tulare,2021-04-02,2021-04-01,2021-04-03 01:00:12
54.6%,45.2%,0.1%,Tuolumne,2021-04-02,2021-04-01,2021-04-03 01:00:15
55.6%,44.4%,0.0%,Ventura,2021-04-02,2021-04-01,2021-04-03 01:00:17
55.0%,41.6%,3.4%,Yolo,2021-04-02,2021-04-01,2021-04-03 01:00:19
57.0%,42.8%,0.3%,Yuba,2021-04-02,2021-04-01,2021-04-03 01:00:22
