American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Alameda,2021-03-22,2021-03-21,2021-03-23 08:24:46
1.9%,0.6%,0%,0.3%,0.3%,0%,17.5%,1.1%,78.2%,Alpine,2021-03-22,2021-03-19,2021-03-23 08:24:50
0.9%,1.4%,0.3%,7%,4.4%,0.3%,66.5%,9.2%,10%,Amador,2021-03-22,2021-03-21,2021-03-23 08:24:53
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Butte,2021-03-22,2021-03-21,2021-03-23 08:25:00
0.4%,1%,0.4%,4.6%,1.6%,0.1%,51.6%,8.7%,31.5%,Calaveras,2021-03-22,2021-03-21,2021-03-23 08:25:10
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Colusa,2021-03-22,2021-03-20,2021-03-23 08:25:13
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Contra Costa,2021-03-22,2021-03-21,2021-03-23 08:25:17
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Del Norte,2021-03-22,2021-03-21,2021-03-23 08:25:20
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,El Dorado,2021-03-22,2021-03-21,2021-03-23 08:25:24
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Fresno,2021-03-22,2021-03-21,2021-03-23 08:25:27
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Glenn,2021-03-22,2021-03-20,2021-03-23 08:25:31
3.4%,1.3%,0.6%,5.9%,14.3%,0.2%,64.1%,3.1%,7%,Humboldt,2021-03-22,2021-03-21,2021-03-23 08:25:34
0.1%,0.7%,0.4%,68%,2.4%,0.1%,9.7%,6%,12.6%,Imperial,2021-03-22,2021-03-21,2021-03-23 08:25:38
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Inyo,2021-03-22,2021-03-20,2021-03-23 08:25:41
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Kern,2021-03-22,2021-03-21,2021-03-23 08:25:45
0.8%,2.7%,2%,41%,7%,0.2%,27.6%,6%,12.8%,Kings,2021-03-22,2021-03-21,2021-03-23 08:25:48
1.7%,1%,1.1%,16.1%,15.3%,0.1%,55.9%,3.2%,5.5%,Lake,2021-03-22,2021-03-21,2021-03-23 08:25:52
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Lassen,2021-03-22,2021-03-21,2021-03-23 08:25:56
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Los Angeles,2021-03-22,2021-03-21,2021-03-23 08:25:59
0.9%,1.8%,1.4%,33.1%,7%,0.2%,34.7%,7.8%,13.2%,Madera,2021-03-22,2021-03-21,2021-03-23 08:26:03
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Marin,2021-03-22,2021-03-21,2021-03-23 08:26:06
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Mariposa,2021-03-22,2021-03-21,2021-03-23 08:26:10
0.8%,1.3%,0.3%,16.6%,13.9%,0.2%,50.1%,5.4%,11.4%,Mendocino,2021-03-22,2021-03-21,2021-03-23 08:26:13
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Merced,2021-03-22,2021-03-21,2021-03-23 08:26:17
2.3%,1.5%,0.9%,7.1%,4.8%,0.1%,72.6%,1.7%,8.8%,Modoc,2021-03-22,2021-03-20,2021-03-23 08:26:20
0.4%,1.3%,0.3%,21.4%,10.4%,0.1%,58.2%,1.6%,6.3%,Mono,2021-03-22,2021-03-21,2021-03-23 08:26:24
0.2%,4.4%,1.1%,34.9%,11.3%,0.5%,28%,7%,12.6%,Monterey,2021-03-22,2021-03-21,2021-03-23 08:26:27
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Napa,2021-03-22,2021-03-21,2021-03-23 08:26:31
0.7%,0.6%,0.2%,5%,17.3%,0.1%,62.4%,6%,7.7%,Nevada,2021-03-22,2021-03-21,2021-03-23 08:26:35
0.1%,18.6%,0.9%,12.8%,15.9%,0.3%,31.7%,10.1%,9.8%,Orange,2021-03-22,2021-03-21,2021-03-23 08:26:38
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Placer,2021-03-22,2021-03-21,2021-03-23 08:26:41
0.8%,0.6%,0.3%,1.9%,6.4%,0%,74.4%,3.6%,12%,Plumas,2021-03-22,2021-03-20,2021-03-23 08:26:45
0.3%,5.7%,3.6%,23.5%,14.4%,0.3%,33.1%,12.1%,7.1%,Riverside,2021-03-22,2021-03-21,2021-03-23 08:26:48
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Sacramento,2021-03-22,2021-03-21,2021-03-23 08:26:52
0.2%,2.1%,0.6%,29.8%,4.9%,0.3%,23%,10.6%,28.6%,San Benito,2021-03-22,2021-03-21,2021-03-23 08:26:55
0.2%,9%,4.8%,27.1%,13.4%,0.4%,25.8%,11.8%,7.5%,San Bernardino,2021-03-22,2021-03-21,2021-03-23 08:26:59
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,San Diego,2021-03-22,2021-03-21,2021-03-23 08:27:02
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,San Francisco,2021-03-22,2021-03-21,2021-03-23 08:27:05
0.3%,9.7%,3.2%,13.8%,2.3%,0.8%,22.9%,14.6%,32.3%,San Joaquin,2021-03-22,2021-03-21,2021-03-23 08:27:09
0.1%,1.1%,0.4%,6%,12.4%,0.1%,30%,15.2%,34.6%,San Luis Obispo,2021-03-22,2021-03-21,2021-03-23 08:27:12
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,San Mateo,2021-03-22,2021-03-21,2021-03-23 08:27:16
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Santa Barbara,2021-03-22,2021-03-21,2021-03-23 08:27:20
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Santa Clara,2021-03-22,2021-03-21,2021-03-23 08:27:24
0.2%,2%,0.3%,19.4%,16.2%,0.1%,41.5%,9.8%,10.4%,Santa Cruz,2021-03-22,2021-03-21,2021-03-23 08:27:27
0.7%,1.2%,0.4%,3.2%,21.1%,0.1%,45.8%,12.8%,14.7%,Shasta,2021-03-22,2021-03-21,2021-03-23 08:27:31
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Sierra,2021-03-22,2021-03-18,2021-03-23 08:27:34
0.3%,11.9%,3%,19%,12.1%,0.4%,30.5%,10.8%,12%,Siskiyou,2021-03-22,2021-03-21,2021-03-23 08:27:38
