American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.2%,5.3%,10.1%,9.4%,0.5%,23.7%,8.8%,21.8%,Alameda,2021-04-03,2021-04-02,2021-04-03 20:21:33
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,17.8%,0.8%,77.8%,Alpine,2021-04-03,2021-04-01,2021-04-03 20:21:35
0.9%,1.5%,0.4%,7.3%,3.6%,0.3%,67.3%,8.7%,10.1%,Amador,2021-04-03,2021-04-02,2021-04-03 20:21:38
1.1%,2.3%,0.7%,7.8%,14.8%,0.1%,56.0%,8.1%,9.1%,Butte,2021-04-03,2021-04-02,2021-04-03 20:21:40
0.4%,1.2%,0.4%,5.1%,1.3%,0.2%,55.0%,8.8%,27.6%,Calaveras,2021-04-03,2021-04-02,2021-04-03 20:21:42
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Colusa,2021-04-03,2021-04-02,2021-04-03 20:21:44
0.2%,10.5%,4.3%,12.5%,10.0%,0.5%,33.2%,7.6%,21.2%,Contra Costa,2021-04-03,2021-04-02,2021-04-03 20:21:46
6.5%,1.7%,0.5%,5.6%,7.1%,0.2%,60.0%,3.2%,15.2%,Del Norte,2021-04-03,2021-04-02,2021-04-03 20:21:49
0.2%,2.8%,0.5%,5.6%,11.7%,0.3%,48.4%,7.8%,22.7%,El Dorado,2021-04-03,2021-04-02,2021-04-03 20:21:51
0.5%,7.0%,2.1%,31.5%,8.3%,0.2%,28.0%,7.9%,14.6%,Fresno,2021-04-03,2021-04-02,2021-04-03 20:21:53
1.9%,1.2%,0.2%,22.1%,7.5%,0.1%,41.9%,10.4%,14.7%,Glenn,2021-04-03,2021-04-02,2021-04-03 20:21:55
3.2%,1.4%,0.7%,7.0%,12.2%,0.2%,63.4%,3.4%,8.6%,Humboldt,2021-04-03,2021-04-02,2021-04-03 20:21:58
0.1%,0.6%,0.4%,62.8%,1.9%,0.1%,9.4%,8.0%,16.8%,Imperial,2021-04-03,2021-04-02,2021-04-03 20:22:00
1.0%,1.0%,0.2%,9.3%,20.0%,0.2%,52.8%,5.7%,9.9%,Inyo,2021-04-03,2021-04-02,2021-04-03 20:22:02
0.3%,4.1%,2.4%,31.4%,10.1%,0.3%,28.5%,11.6%,11.3%,Kern,2021-04-03,2021-04-02,2021-04-03 20:22:04
0.7%,2.6%,2.1%,41.0%,5.9%,0.2%,26.6%,6.2%,14.7%,Kings,2021-04-03,2021-04-02,2021-04-03 20:22:06
1.6%,1.1%,1.2%,16.0%,14.0%,0.1%,55.0%,3.7%,7.2%,Lake,2021-04-03,2021-04-02,2021-04-03 20:22:09
1.2%,1.4%,0.7%,7.0%,7.1%,0.3%,59.5%,3.6%,19.2%,Lassen,2021-04-03,2021-04-02,2021-04-03 20:22:11
0.2%,12.3%,4.4%,25.0%,14.5%,0.4%,19.7%,14.8%,8.7%,Los Angeles,2021-04-03,2021-04-02,2021-04-03 20:22:13
0.9%,1.9%,1.4%,32.8%,6.1%,0.1%,32.6%,8.6%,15.6%,Madera,2021-04-03,2021-04-02,2021-04-03 20:22:15
0.1%,3.8%,0.9%,9.8%,10.4%,0.2%,47.8%,6.3%,20.7%,Marin,2021-04-03,2021-04-02,2021-04-03 20:22:17
1.8%,0.9%,0.4%,7.4%,2.2%,0.2%,62.9%,4.8%,19.4%,Mariposa,2021-04-03,2021-04-02,2021-04-03 20:22:20
0.8%,1.3%,0.3%,15.7%,13.6%,0.2%,49.7%,7.0%,11.3%,Mendocino,2021-04-03,2021-04-02,2021-04-03 20:22:22
0.3%,6.0%,1.6%,34.3%,0.4%,0.3%,25.3%,8.4%,23.4%,Merced,2021-04-03,2021-04-02,2021-04-03 20:22:24
0.3%,11.7%,3.0%,19.6%,10.1%,0.4%,29.5%,11.1%,14.3%,Modoc,2021-04-03,2021-04-01,2021-04-03 20:22:26
0.4%,1.3%,0.3%,21.4%,9.9%,0.2%,57.2%,1.9%,7.5%,Mono,2021-04-03,2021-04-01,2021-04-03 20:22:29
