Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
57.8%,41.9%,0.3%,Alameda,2021-03-19,2021-03-18,2021-03-20 00:42:53
47.1%,52.4%,0.5%,Alpine,2021-03-19,2021-03-18,2021-03-20 00:42:57
56.2%,43.7%,0.1%,Amador,2021-03-19,2021-03-18,2021-03-20 00:43:00
57.6%,42.3%,0.1%,Butte,2021-03-19,2021-03-18,2021-03-20 00:43:04
55.2%,44.1%,0.8%,Calaveras,2021-03-19,2021-03-18,2021-03-20 00:43:07
53.1%,44.8%,2.1%,Colusa,2021-03-19,2021-03-18,2021-03-20 00:43:11
58%,41.9%,0.1%,Contra Costa,2021-03-19,2021-03-18,2021-03-20 00:43:15
54.1%,45.8%,0.1%,Del Norte,2021-03-19,2021-03-17,2021-03-20 00:43:18
56.1%,43.8%,0.1%,El Dorado,2021-03-19,2021-03-18,2021-03-20 00:43:22
56.4%,43.5%,0.1%,Fresno,2021-03-19,2021-03-18,2021-03-20 00:43:25
57.4%,42.5%,0.1%,Glenn,2021-03-19,2021-03-18,2021-03-20 00:43:29
59%,40.9%,0.1%,Humboldt,2021-03-19,2021-03-18,2021-03-20 00:43:33
55.5%,44.5%,0%,Imperial,2021-03-19,2021-03-18,2021-03-20 00:43:36
53.8%,46.1%,0.1%,Inyo,2021-03-19,2021-03-18,2021-03-20 00:43:40
55.9%,43.5%,0.6%,Kern,2021-03-19,2021-03-18,2021-03-20 00:43:44
54.9%,44.6%,0.5%,Kings,2021-03-19,2021-03-18,2021-03-20 00:43:47
55.1%,44.8%,0.1%,Lake,2021-03-19,2021-03-18,2021-03-20 00:43:51
52.7%,47.2%,0.1%,Lassen,2021-03-19,2021-03-18,2021-03-20 00:43:54
57%,42.8%,0.2%,Los Angeles,2021-03-19,2021-03-18,2021-03-20 00:43:58
55.4%,44.5%,0.1%,Madera,2021-03-19,2021-03-18,2021-03-20 00:44:02
57.2%,42.8%,0.1%,Marin,2021-03-19,2021-03-18,2021-03-20 00:44:05
54.4%,45.3%,0.3%,Mariposa,2021-03-19,2021-03-18,2021-03-20 00:44:09
54.5%,44.7%,0.8%,Mendocino,2021-03-19,2021-03-18,2021-03-20 00:44:12
55.8%,43.7%,0.4%,Merced,2021-03-19,2021-03-18,2021-03-20 00:44:16
52.6%,47.4%,0%,Modoc,2021-03-19,2021-03-18,2021-03-20 00:44:19
47.6%,52.4%,0%,Mono,2021-03-19,2021-03-18,2021-03-20 00:44:23
55.8%,40.7%,3.6%,Monterey,2021-03-19,2021-03-18,2021-03-20 00:44:26
53.9%,46%,0.1%,Napa,2021-03-19,2021-03-18,2021-03-20 00:44:30
57.2%,42.7%,0.1%,Nevada,2021-03-19,2021-03-18,2021-03-20 00:44:34
56.7%,42.2%,1.1%,Orange,2021-03-19,2021-03-18,2021-03-20 00:44:37
57.9%,42.1%,0.1%,Placer,2021-03-19,2021-03-18,2021-03-20 00:44:41
54.5%,45.4%,0%,Plumas,2021-03-19,2021-03-18,2021-03-20 00:44:45
56.1%,43.8%,0.1%,Riverside,2021-03-19,2021-03-18,2021-03-20 00:44:48
58%,41.8%,0.2%,Sacramento,2021-03-19,2021-03-18,2021-03-20 00:44:52
57.5%,42.1%,0.4%,San Benito,2021-03-19,2021-03-18,2021-03-20 00:44:55
57.8%,42%,0.1%,San Bernardino,2021-03-19,2021-03-18,2021-03-20 00:44:59
57.9%,41.4%,0.7%,San Diego,2021-03-19,2021-03-18,2021-03-20 00:45:02
53.8%,45.9%,0.3%,San Francisco,2021-03-19,2021-03-18,2021-03-20 00:45:06
57.6%,41.7%,0.6%,San Joaquin,2021-03-19,2021-03-18,2021-03-20 00:45:09
57.1%,42.8%,0.1%,San Luis Obispo,2021-03-19,2021-03-18,2021-03-20 00:45:13
57.6%,42.4%,0.1%,San Mateo,2021-03-19,2021-03-18,2021-03-20 00:45:17
57.7%,42.2%,0.1%,Santa Barbara,2021-03-19,2021-03-18,2021-03-20 00:45:20
57.9%,42%,0.1%,Santa Clara,2021-03-19,2021-03-18,2021-03-20 00:45:24
57.5%,42%,0.4%,Santa Cruz,2021-03-19,2021-03-18,2021-03-20 00:45:27
57.7%,42.2%,0.1%,Shasta,2021-03-19,2021-03-18,2021-03-20 00:45:31
52.6%,47.3%,0.1%,Sierra,2021-03-19,2021-03-18,2021-03-20 00:45:34
55.6%,44.4%,0%,Siskiyou,2021-03-19,2021-03-18,2021-03-20 00:45:38
57.9%,41.9%,0.2%,Solano,2021-03-19,2021-03-18,2021-03-20 00:45:42
57.6%,42.3%,0.1%,Sonoma,2021-03-19,2021-03-18,2021-03-20 00:45:45
57%,42.6%,0.4%,Stanislaus,2021-03-19,2021-03-18,2021-03-20 00:45:49
56.7%,42.7%,0.6%,Sutter,2021-03-19,2021-03-18,2021-03-20 00:45:52
56.3%,43.6%,0%,Tehama,2021-03-19,2021-03-18,2021-03-20 00:45:56
50.7%,49.1%,0.2%,Trinity,2021-03-19,2021-03-18,2021-03-20 00:45:59
55.4%,44.5%,0.1%,Tulare,2021-03-19,2021-03-18,2021-03-20 00:46:03
55.1%,44.8%,0.1%,Tuolumne,2021-03-19,2021-03-18,2021-03-20 00:46:06
57.1%,42.8%,0%,Ventura,2021-03-19,2021-03-18,2021-03-20 00:46:10
55.7%,40.1%,4.3%,Yolo,2021-03-19,2021-03-18,2021-03-20 00:46:14
58.1%,41.6%,0.3%,Yuba,2021-03-19,2021-03-18,2021-03-20 00:46:17
