0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,43.2%,25.4%,30.9%,0.000%,Alameda,2021-04-05,2021-04-04,2021-04-06 04:27:45
0.6%,39.1%,25.7%,34.6%,0.005%,Alpine,2021-04-05,2021-04-04,2021-04-06 04:27:48
0.1%,18.2%,24.2%,57.5%,0.000%,Amador,2021-04-05,2021-04-04,2021-04-06 04:27:50
0.5%,33.6%,24.6%,41.3%,0.000%,Butte,2021-04-05,2021-04-04,2021-04-06 04:27:53
0.3%,16.6%,23.5%,59.5%,0.000%,Calaveras,2021-04-05,2021-04-03,2021-04-06 04:27:55
0.2%,37.3%,25.8%,36.7%,0.000%,Colusa,2021-04-05,2021-04-03,2021-04-06 04:27:57
0.7%,35.6%,29.2%,34.5%,0.000%,Contra Costa,2021-04-05,2021-04-04,2021-04-06 04:28:00
0.1%,25.2%,26.4%,48.3%,0.000%,Del Norte,2021-04-05,2021-04-03,2021-04-06 04:28:03
0.5%,24.8%,26.9%,47.8%,0.000%,El Dorado,2021-04-05,2021-04-04,2021-04-06 04:28:05
0.6%,41.3%,26.1%,32.0%,0.000%,Fresno,2021-04-05,2021-04-04,2021-04-06 04:28:08
0.3%,31.4%,26.5%,41.9%,0.000%,Glenn,2021-04-05,2021-04-03,2021-04-06 04:28:11
0.2%,36.0%,21.9%,41.9%,0.000%,Humboldt,2021-04-05,2021-04-04,2021-04-06 04:28:14
0.3%,40.8%,24.8%,34.1%,0.000%,Imperial,2021-04-05,2021-04-04,2021-04-06 04:28:16
0.3%,27.9%,24.3%,47.4%,0.000%,Inyo,2021-04-05,2021-04-03,2021-04-06 04:28:18
0.8%,40.5%,26.4%,32.4%,0.000%,Kern,2021-04-05,2021-04-04,2021-04-06 04:28:21
0.5%,43.4%,28.3%,27.8%,0.000%,Kings,2021-04-05,2021-04-04,2021-04-06 04:28:23
0.2%,24.6%,25.8%,49.5%,0.000%,Lake,2021-04-05,2021-04-03,2021-04-06 04:28:26
0.1%,23.1%,26.5%,50.3%,0.000%,Lassen,2021-04-05,2021-04-03,2021-04-06 04:28:28
0.5%,42.3%,26.3%,30.9%,0.000%,Los Angeles,2021-04-05,2021-04-04,2021-04-06 04:28:31
0.4%,35.1%,26.1%,38.4%,0.000%,Madera,2021-04-05,2021-04-04,2021-04-06 04:28:33
