Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.7%,42.9%,0.3%,Alameda,2021-03-29,2021-03-28,2021-03-30 14:21:08
46.7%,52.8%,0.4%,Alpine,2021-03-29,2021-03-25,2021-03-30 14:21:11
55.9%,43.9%,0.1%,Amador,2021-03-29,2021-03-28,2021-03-30 14:21:13
56.6%,43.3%,0.1%,Butte,2021-03-29,2021-03-28,2021-03-30 14:21:16
54.7%,44.5%,0.8%,Calaveras,2021-03-29,2021-03-28,2021-03-30 14:21:18
51.8%,46.4%,1.8%,Colusa,2021-03-29,2021-03-28,2021-03-30 14:21:21
56.8%,43.1%,0.1%,Contra Costa,2021-03-29,2021-03-28,2021-03-30 14:21:24
53.9%,46.0%,0.1%,Del Norte,2021-03-29,2021-03-28,2021-03-30 14:21:26
55.3%,44.5%,0.1%,El Dorado,2021-03-29,2021-03-28,2021-03-30 14:21:29
55.7%,44.2%,0.1%,Fresno,2021-03-29,2021-03-28,2021-03-30 14:21:32
55.4%,44.5%,0.1%,Glenn,2021-03-29,2021-03-28,2021-03-30 14:21:34
57.8%,42.0%,0.1%,Humboldt,2021-03-29,2021-03-28,2021-03-30 14:21:37
54.2%,45.8%,0.0%,Imperial,2021-03-29,2021-03-28,2021-03-30 14:21:40
53.0%,46.9%,0.1%,Inyo,2021-03-29,2021-03-28,2021-03-30 14:21:42
55.2%,44.2%,0.6%,Kern,2021-03-29,2021-03-28,2021-03-30 14:21:45
54.8%,44.8%,0.4%,Kings,2021-03-29,2021-03-28,2021-03-30 14:21:47
54.3%,45.6%,0.1%,Lake,2021-03-29,2021-03-28,2021-03-30 14:21:50
52.4%,47.4%,0.2%,Lassen,2021-03-29,2021-03-28,2021-03-30 14:21:52
55.9%,43.9%,0.2%,Los Angeles,2021-03-29,2021-03-28,2021-03-30 14:21:55
55.0%,45.0%,0.1%,Madera,2021-03-29,2021-03-28,2021-03-30 14:21:57
56.4%,43.5%,0.1%,Marin,2021-03-29,2021-03-28,2021-03-30 14:22:00
53.8%,45.8%,0.4%,Mariposa,2021-03-29,2021-03-27,2021-03-30 14:22:03
54.0%,45.2%,0.8%,Mendocino,2021-03-29,2021-03-28,2021-03-30 14:22:05
55.0%,44.6%,0.4%,Merced,2021-03-29,2021-03-28,2021-03-30 14:22:08
52.7%,47.3%,0.0%,Modoc,2021-03-29,2021-03-26,2021-03-30 14:22:10
47.4%,52.6%,0.0%,Mono,2021-03-29,2021-03-27,2021-03-30 14:22:13
54.0%,43.0%,3.0%,Monterey,2021-03-29,2021-03-28,2021-03-30 14:22:15
53.4%,46.6%,0.1%,Napa,2021-03-29,2021-03-28,2021-03-30 14:22:18
55.8%,43.8%,0.4%,Nevada,2021-03-29,2021-03-28,2021-03-30 14:22:21
55.5%,43.6%,0.9%,Orange,2021-03-29,2021-03-28,2021-03-30 14:22:23
57.0%,42.9%,0.1%,Placer,2021-03-29,2021-03-28,2021-03-30 14:22:26
53.9%,46.0%,0.0%,Plumas,2021-03-29,2021-03-27,2021-03-30 14:22:28
55.3%,44.6%,0.1%,Riverside,2021-03-29,2021-03-28,2021-03-30 14:22:31
57.2%,42.6%,0.2%,Sacramento,2021-03-29,2021-03-28,2021-03-30 14:22:33
56.1%,43.5%,0.3%,San Benito,2021-03-29,2021-03-28,2021-03-30 14:22:36
56.9%,43.0%,0.1%,San Bernardino,2021-03-29,2021-03-28,2021-03-30 14:22:39
57.0%,42.2%,0.8%,San Diego,2021-03-29,2021-03-28,2021-03-30 14:22:41
52.8%,46.9%,0.3%,San Francisco,2021-03-29,2021-03-28,2021-03-30 14:22:44
56.4%,42.8%,0.8%,San Joaquin,2021-03-29,2021-03-28,2021-03-30 14:22:46
56.2%,43.7%,0.1%,San Luis Obispo,2021-03-29,2021-03-28,2021-03-30 14:22:49
56.6%,43.4%,0.1%,San Mateo,2021-03-29,2021-03-28,2021-03-30 14:22:52
56.1%,43.8%,0.1%,Santa Barbara,2021-03-29,2021-03-28,2021-03-30 14:22:54
56.6%,43.3%,0.1%,Santa Clara,2021-03-29,2021-03-28,2021-03-30 14:22:57
56.7%,42.9%,0.4%,Santa Cruz,2021-03-29,2021-03-28,2021-03-30 14:22:59
57.1%,42.8%,0.1%,Shasta,2021-03-29,2021-03-28,2021-03-30 14:23:02
52.0%,47.9%,0.2%,Sierra,2021-03-29,2021-03-27,2021-03-30 14:23:04
54.5%,45.4%,0.1%,Siskiyou,2021-03-29,2021-03-28,2021-03-30 14:23:07
57.0%,42.7%,0.3%,Solano,2021-03-29,2021-03-28,2021-03-30 14:23:09
56.5%,43.5%,0.1%,Sonoma,2021-03-29,2021-03-28,2021-03-30 14:23:12
55.8%,43.8%,0.4%,Stanislaus,2021-03-29,2021-03-28,2021-03-30 14:23:15
55.8%,43.8%,0.4%,Sutter,2021-03-29,2021-03-28,2021-03-30 14:23:17
55.6%,44.3%,0.1%,Tehama,2021-03-29,2021-03-28,2021-03-30 14:23:20
50.5%,49.3%,0.2%,Trinity,2021-03-29,2021-03-28,2021-03-30 14:23:22
54.9%,45.0%,0.1%,Tulare,2021-03-29,2021-03-28,2021-03-30 14:23:25
54.7%,45.2%,0.1%,Tuolumne,2021-03-29,2021-03-28,2021-03-30 14:23:28
55.8%,44.1%,0.0%,Ventura,2021-03-29,2021-03-28,2021-03-30 14:23:30
55.2%,41.2%,3.7%,Yolo,2021-03-29,2021-03-28,2021-03-30 14:23:33
57.2%,42.5%,0.3%,Yuba,2021-03-29,2021-03-28,2021-03-30 14:23:35
