0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,43.9%,26.7%,28.7%,Alameda,2021-04-09,2021-04-08,2021-04-10 00:59:38
0.7%,40.0%,27.0%,32.3%,Alpine,2021-04-09,2021-04-08,2021-04-10 00:59:40
0.7%,40.0%,27.0%,32.3%,Amador,2021-04-09,2021-04-08,2021-04-10 00:59:43
0.7%,35.2%,24.8%,39.3%,Butte,2021-04-09,2021-04-08,2021-04-10 00:59:45
0.4%,16.8%,27.2%,55.6%,Calaveras,2021-04-09,2021-04-08,2021-04-10 00:59:48
0.2%,37.9%,27.0%,34.9%,Colusa,2021-04-09,2021-04-08,2021-04-10 00:59:50
1.1%,38.5%,29.1%,31.3%,Contra Costa,2021-04-09,2021-04-08,2021-04-10 00:59:53
0.1%,26.2%,28.0%,45.6%,Del Norte,2021-04-09,2021-04-08,2021-04-10 00:59:56
0.5%,25.6%,28.5%,45.3%,El Dorado,2021-04-09,2021-04-08,2021-04-10 00:59:59
0.6%,42.2%,26.6%,30.6%,Fresno,2021-04-09,2021-04-08,2021-04-10 01:00:01
0.4%,32.0%,27.2%,40.4%,Glenn,2021-04-09,2021-04-08,2021-04-10 01:00:04
0.4%,36.7%,23.6%,39.3%,Humboldt,2021-04-09,2021-04-08,2021-04-10 01:00:07
0.3%,41.7%,26.2%,31.7%,Imperial,2021-04-09,2021-04-08,2021-04-10 01:00:09
0.7%,40.0%,27.0%,32.3%,Inyo,2021-04-09,2021-04-08,2021-04-10 01:00:12
1.0%,41.6%,27.0%,30.3%,Kern,2021-04-09,2021-04-08,2021-04-10 01:00:14
0.6%,44.0%,28.9%,26.5%,Kings,2021-04-09,2021-04-08,2021-04-10 01:00:17
0.2%,24.7%,28.4%,46.6%,Lake,2021-04-09,2021-04-08,2021-04-10 01:00:20
0.1%,24.3%,27.7%,48.0%,Lassen,2021-04-09,2021-04-08,2021-04-10 01:00:22
0.7%,40.0%,27.0%,32.3%,Los Angeles,2021-04-09,2021-04-08,2021-04-10 01:00:25
0.5%,36.1%,26.8%,36.6%,Madera,2021-04-09,2021-04-08,2021-04-10 01:00:28
1.2%,33.1%,29.4%,36.3%,Marin,2021-04-09,2021-04-08,2021-04-10 01:00:30
0.2%,19.8%,25.4%,54.7%,Mariposa,2021-04-09,2021-04-08,2021-04-10 01:00:33
0.6%,32.5%,24.8%,42.1%,Mendocino,2021-04-09,2021-04-08,2021-04-10 01:00:35
0.7%,40.0%,27.0%,32.3%,Merced,2021-04-09,2021-04-08,2021-04-10 01:00:38
0.7%,40.0%,27.0%,32.3%,Modoc,2021-04-09,2021-04-08,2021-04-10 01:00:40
1.4%,46.4%,29.4%,22.8%,Mono,2021-04-09,2021-04-08,2021-04-10 01:00:43
0.6%,43.1%,26.1%,30.2%,Monterey,2021-04-09,2021-04-08,2021-04-10 01:00:46
0.5%,37.7%,26.0%,35.8%,Napa,2021-04-09,2021-04-08,2021-04-10 01:00:48
0.7%,24.7%,25.1%,49.4%,Nevada,2021-04-09,2021-04-08,2021-04-10 01:00:51
