American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Alameda,2021-03-28,2021-03-27,2021-03-28 16:36:25
1.7%,0.6%,0.3%,0.6%,0.3%,0.0%,17.8%,0.9%,77.9%,Alpine,2021-03-28,2021-03-25,2021-03-28 16:36:28
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Amador,2021-03-28,2021-03-27,2021-03-28 16:36:31
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Butte,2021-03-28,2021-03-27,2021-03-28 16:36:33
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Calaveras,2021-03-28,2021-03-27,2021-03-28 16:36:37
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Colusa,2021-03-28,2021-03-27,2021-03-28 16:36:40
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Contra Costa,2021-03-28,2021-03-27,2021-03-28 16:36:42
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Del Norte,2021-03-28,2021-03-27,2021-03-28 16:36:44
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,El Dorado,2021-03-28,2021-03-27,2021-03-28 16:36:47
0.5%,6.9%,2.1%,31.5%,8.8%,0.2%,28.6%,7.8%,13.6%,Fresno,2021-03-28,2021-03-27,2021-03-28 16:36:49
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Glenn,2021-03-28,2021-03-27,2021-03-28 16:36:52
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Humboldt,2021-03-28,2021-03-27,2021-03-28 16:36:55
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Imperial,2021-03-28,2021-03-27,2021-03-28 16:36:58
1.0%,1.0%,0.2%,9.1%,20.8%,0.2%,53.4%,5.3%,9.0%,Inyo,2021-03-28,2021-03-27,2021-03-28 16:37:00
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Kern,2021-03-28,2021-03-27,2021-03-28 16:37:03
0.7%,2.6%,2.0%,40.9%,6.4%,0.2%,27.1%,6.3%,13.7%,Kings,2021-03-28,2021-03-27,2021-03-28 16:37:05
1.7%,1.1%,1.2%,16.1%,14.6%,0.1%,55.4%,3.5%,6.4%,Lake,2021-03-28,2021-03-27,2021-03-28 16:37:08
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Lassen,2021-03-28,2021-03-26,2021-03-28 16:37:10
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Los Angeles,2021-03-28,2021-03-27,2021-03-28 16:37:13
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Madera,2021-03-28,2021-03-27,2021-03-28 16:37:15
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Marin,2021-03-28,2021-03-27,2021-03-28 16:37:18
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Mariposa,2021-03-28,2021-03-27,2021-03-28 16:37:20
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Mendocino,2021-03-28,2021-03-27,2021-03-28 16:37:23
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Merced,2021-03-28,2021-03-27,2021-03-28 16:37:26
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Modoc,2021-03-28,2021-03-26,2021-03-28 16:37:28
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Mono,2021-03-28,2021-03-27,2021-03-28 16:37:31
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Monterey,2021-03-28,2021-03-27,2021-03-28 16:37:34
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Napa,2021-03-28,2021-03-27,2021-03-28 16:37:37
0.3%,11.8%,3.0%,19.4%,10.9%,0.4%,30.0%,11.0%,13.3%,Nevada,2021-03-28,2021-03-27,2021-03-28 16:37:39
0.1%,18.2%,0.9%,12.8%,14.2%,0.3%,31.3%,10.8%,11.5%,Orange,2021-03-28,2021-03-27,2021-03-28 16:37:42
