American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,21.4%,5.8%,10.5%,11.3%,0.6%,27%,8.9%,14.5%,Alameda,2021-03-18,2021-03-17,2021-03-19 12:28:32
1.9%,0.7%,0%,0.4%,0.4%,0%,19.4%,0.9%,76.3%,Alpine,2021-03-18,2021-03-17,2021-03-19 12:28:35
0.9%,1.4%,0.4%,6.6%,5.1%,0.2%,66.6%,9.6%,9.3%,Amador,2021-03-18,2021-03-17,2021-03-19 12:28:39
1.2%,2.1%,0.7%,7.3%,17.2%,0.1%,57.1%,7.9%,6.5%,Butte,2021-03-18,2021-03-17,2021-03-19 12:28:42
0.3%,0.9%,0.4%,4.4%,1.7%,0.2%,51%,8.8%,32.4%,Calaveras,2021-03-18,2021-03-17,2021-03-19 12:28:46
1.1%,0.6%,0.5%,26.2%,6%,0.1%,34.1%,5.4%,25.9%,Colusa,2021-03-18,2021-03-17,2021-03-19 12:28:50
0.2%,11.3%,4.6%,12.1%,12.5%,0.6%,36.2%,8%,14.6%,Contra Costa,2021-03-18,2021-03-17,2021-03-19 12:28:54
7.7%,1.8%,0.5%,5.2%,8.5%,0.1%,61.4%,2.5%,12.3%,Del Norte,2021-03-18,2021-03-17,2021-03-19 12:28:57
0.3%,2.7%,0.5%,4.9%,14.9%,0.3%,52.2%,8.1%,16.1%,El Dorado,2021-03-18,2021-03-17,2021-03-19 12:29:01
0.5%,7.1%,2.1%,31.5%,10.5%,0.2%,29.4%,7.8%,11%,Fresno,2021-03-18,2021-03-17,2021-03-19 12:29:04
2.4%,1.1%,0.2%,19.9%,9.2%,0.1%,47.1%,10.2%,9.9%,Glenn,2021-03-18,2021-03-17,2021-03-19 12:29:07
3.5%,1.3%,0.6%,5.7%,15.1%,0.2%,64.4%,3%,6.1%,Humboldt,2021-03-18,2021-03-17,2021-03-19 12:29:11
0.1%,0.8%,0.5%,70.1%,2.7%,0.1%,10.4%,5.7%,9.7%,Imperial,2021-03-18,2021-03-17,2021-03-19 12:29:14
1.1%,0.8%,0.2%,8.7%,22.8%,0.1%,54.3%,4.9%,7.1%,Inyo,2021-03-18,2021-03-17,2021-03-19 12:29:18
0.3%,4.1%,2.3%,30.1%,12.7%,0.2%,30.1%,10.9%,9.1%,Kern,2021-03-18,2021-03-17,2021-03-19 12:29:22
0.8%,2.7%,1.9%,41.2%,7.7%,0.1%,27.7%,5.7%,12%,Kings,2021-03-18,2021-03-17,2021-03-19 12:29:25
1.9%,1%,1.1%,15.6%,16.8%,0.1%,56.6%,2.9%,4%,Lake,2021-03-18,2021-03-17,2021-03-19 12:29:28
1%,1.3%,0.7%,6.1%,8.2%,0.2%,61.3%,3.8%,17.4%,Lassen,2021-03-18,2021-03-17,2021-03-19 12:29:32
0.2%,12.6%,4.3%,24.2%,19.5%,0.4%,19.6%,13.7%,5.6%,Los Angeles,2021-03-18,2021-03-17,2021-03-19 12:29:35
1%,1.8%,1.5%,32.6%,7.5%,0.2%,36.4%,7.8%,11.4%,Madera,2021-03-18,2021-03-17,2021-03-19 12:29:39
0.1%,4.1%,1%,7.6%,12.8%,0.2%,53.4%,6.5%,14.4%,Marin,2021-03-18,2021-03-17,2021-03-19 12:29:42
1.9%,0.8%,0.3%,7.9%,3%,0.2%,63.9%,6.4%,15.7%,Mariposa,2021-03-18,2021-03-17,2021-03-19 12:29:46
0.8%,1.3%,0.3%,16.3%,14.1%,0.2%,50.1%,5.3%,11.7%,Mendocino,2021-03-18,2021-03-17,2021-03-19 12:29:49
0.3%,6%,1.6%,34%,0.6%,0.3%,28.8%,8.8%,19.5%,Merced,2021-03-18,2021-03-17,2021-03-19 12:29:53
2.4%,1.5%,0.9%,7.3%,4.8%,0.1%,73.1%,1.6%,8.3%,Modoc,2021-03-18,2021-03-17,2021-03-19 12:29:56
0.4%,1.2%,0.2%,21.3%,11.5%,0.2%,59.9%,1.5%,3.9%,Mono,2021-03-18,2021-03-17,2021-03-19 12:30:00
0.2%,4.7%,1.1%,33.6%,12.7%,0.5%,29.9%,6.8%,10.4%,Monterey,2021-03-18,2021-03-17,2021-03-19 12:30:03
0.2%,4.5%,1%,17.1%,7.9%,0.4%,44.2%,6.2%,18.6%,Napa,2021-03-18,2021-03-17,2021-03-19 12:30:07
0.7%,0.6%,0.2%,5%,18%,0.1%,62.8%,5.8%,6.7%,Nevada,2021-03-18,2021-03-17,2021-03-19 12:30:10
0.1%,18.9%,0.8%,12.8%,17.1%,0.3%,32%,9.6%,8.3%,Orange,2021-03-18,2021-03-17,2021-03-19 12:30:14
0.5%,5.5%,0.9%,9.6%,14%,0.4%,47.8%,8%,13.5%,Placer,2021-03-18,2021-03-17,2021-03-19 12:30:17
0.8%,0.5%,0.3%,1.8%,6.3%,0%,74.8%,3.6%,11.9%,Plumas,2021-03-18,2021-03-17,2021-03-19 12:30:21
0.3%,5.7%,3.5%,23.4%,15.3%,0.3%,33.6%,11.7%,6.2%,Riverside,2021-03-18,2021-03-17,2021-03-19 12:30:24
0.4%,10.8%,4.1%,8.2%,10.5%,0.9%,32.6%,11.5%,20.9%,Sacramento,2021-03-18,2021-03-17,2021-03-19 12:30:28
0.2%,2.2%,0.6%,29.9%,5.4%,0.3%,24.3%,10.6%,26.5%,San Benito,2021-03-18,2021-03-17,2021-03-19 12:30:31
0.2%,9.1%,4.7%,26.8%,14.5%,0.4%,26.4%,11.3%,6.6%,San Bernardino,2021-03-18,2021-03-17,2021-03-19 12:30:35
0.4%,11.4%,2.3%,19.4%,1.1%,0.6%,45.6%,10.3%,9%,San Diego,2021-03-18,2021-03-17,2021-03-19 12:30:38
0.2%,30.2%,3.1%,10.6%,8.3%,0.3%,27.1%,5.9%,14.3%,San Francisco,2021-03-18,2021-03-17,2021-03-19 12:30:42
